key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
h2727,h2727.mp3,7.601625,3,0.0,0.0,0.546032,0.546032
h2727,h2727.mp3,7.601625,3,1.0,3.004059,4.070363,1.066304
h2727,h2727.mp3,7.601625,3,2.0,5.014989,6.086621,1.071633
h2728,h2728.mp3,7.8105,3,0.0,0.0,0.556327,0.556327
h2728,h2728.mp3,7.8105,3,1.0,2.843061,3.886327,1.043265
h2728,h2728.mp3,7.8105,3,2.0,5.019864,6.092245,1.072381
h2729,h2729.mp3,7.340375,3,0.0,0.0,0.523061,0.523061
h2729,h2729.mp3,7.340375,3,1.0,2.789206,3.838141,1.048934
h2729,h2729.mp3,7.340375,3,2.0,4.754376,5.833878,1.079501
h2730,h2730.mp3,7.392625,3,0.0,0.0,0.533696,0.533696
h2730,h2730.mp3,7.392625,3,1.0,2.74229,3.834059,1.091769
h2730,h2730.mp3,7.392625,3,2.0,4.804308,5.894807,1.090499
h2731,h2731.mp3,7.1575,3,0.0,0.0,0.541565,0.541565
h2731,h2731.mp3,7.1575,3,1.0,2.647778,3.82619,1.178413
h2731,h2731.mp3,7.1575,3,2.0,4.656735,5.785646,1.128912
h2732,h2732.mp3,7.549375,3,0.0,0.0,0.541678,0.541678
h2732,h2732.mp3,7.549375,3,1.0,3.08415,4.246848,1.162698
h2732,h2732.mp3,7.549375,3,2.0,5.043197,6.183628,1.140431
h2733,h2733.mp3,7.549375,3,0.0,0.0,0.54034,0.54034
h2733,h2733.mp3,7.549375,3,1.0,3.065624,4.157868,1.092245
h2733,h2733.mp3,7.549375,3,2.0,5.066621,6.159841,1.09322
h2734,h2734.mp3,7.10525,3,0.0,0.0,0.59229,0.59229
h2734,h2734.mp3,7.10525,3,1.0,2.701156,3.877256,1.1761
h2734,h2734.mp3,7.10525,3,2.0,4.587528,5.782744,1.195215
h2736,h2736.mp3,8.0195,3,0.0,0.0,0.537392,0.537392
h2736,h2736.mp3,8.0195,3,1.0,2.956032,4.083673,1.127642
